Timestamp,Apa yang dimaksud dengan Demam Berdarah Dengue (DBD)? ,Apa gejala utama Demam Berdarah Dengue (DBD)! ,Apa penyebab utama penyakit Demam Berdarah Dengue?,Bagaimana cara penularan penyakit DBD terjadi? ,Apa solusi untuk meningkatkan kepedulian masyarakat terhadap pencegahan DBD? 
07/06/2025 13:02:14,"Demam Berdarah Dengue (DBD) adalah penyakit infeksi virus akut yang disebabkan oleh virus Dengue, ditularkan melalui gigitan nyamuk Aedes aegypti dan Aedes albopictus.","Gejala utama DBD meliputi demam tinggi mendadak, sakit kepala parah, nyeri otot dan sendi, ruam kulit, serta mual dan muntah, kadang disertai perdarahan.","Penyebab utama penyakit Demam Berdarah Dengue (DBD) adalah infeksi virus Dengue, yang ditularkan ke manusia melalui gigitan nyamuk Aedes aegypti dan Aedes albopictus.",Penularan DBD terjadi saat nyamuk Aedes aegypti atau Aedes albopictus yang terinfeksi virus Dengue menggigit manusia.,"Solusi untuk meningkatkan kepedulian masyarakat terhadap pencegahan DBD adalah melalui edukasi masif, penguatan gerakan 3M Plus, pelibatan aktif komunitas, dan kolaborasi lintas sektor."
07/06/2025 13:11:15,"Demam Berdarah Dengue (DBD) adalah penyakit yang disebabkan oleh virus dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti. Penyakit ini ditandai dengan demam tinggi, nyeri otot atau sendi, ruam kulit, dan bisa menyebabkan perdarahan serius hingga kematian jika tidak ditangani dengan cepat.","Gejala utama Demam Berdarah Dengue (DBD) meliputi demam tinggi mendadak, nyeri otot dan sendi, sakit kepala, nyeri di belakang mata, mual atau muntah, bintik-bintik merah di kulit, serta perdarahan ringan seperti mimisan atau gusi berdarah.",Penyebab utama penyakit Demam Berdarah Dengue adalah infeksi virus dengue yang ditularkan melalui gigitan nyamuk Aedes aegypti yang terinfeksi.,Penyakit DBD ditularkan melalui gigitan nyamuk Aedes aegypti yang membawa virus dengue dari penderita ke orang sehat.,"Solusi untuk meningkatkan kepedulian masyarakat terhadap pencegahan DBD adalah dengan mengadakan edukasi rutin, kampanye kebersihan lingkungan, penyuluhan 3M (menguras, menutup, dan mengubur), serta melibatkan tokoh masyarakat dalam kegiatan pencegahan."
07/06/2025 13:12:57,Demam Berdarah Dengue (DBD) adalah penyakit menular yang disebabkan oleh virus dengue dan ditularkan melalui gigitan nyamuk Aedes aegypti yang terinfeksi.,"Gejala utama Demam Berdarah Dengue (DBD) meliputi demam tinggi mendadak, sakit kepala, nyeri otot dan sendi, nyeri di belakang mata, mual atau muntah, bintik merah di kulit, serta perdarahan ringan seperti mimisan atau gusi berdarah.",Penyebab utama penyakit Demam Berdarah Dengue adalah virus dengue yang ditularkan lewat gigitan nyamuk Aedes aegypti yang terinfeksi.,Penularan penyakit DBD terjadi melalui gigitan nyamuk Aedes aegypti yang membawa virus dengue dari orang yang terinfeksi ke orang sehat.,"Solusi untuk meningkatkan kepedulian masyarakat terhadap pencegahan DBD adalah dengan mengadakan penyuluhan rutin, kampanye kebersihan lingkungan, serta mendorong partisipasi aktif masyarakat dalam memberantas sarang nyamuk."
07/06/2025 13:19:16,"Demam Berdarah Dengue (DBD) adalah penyakit infeksi virus akut yang disebabkan oleh virus dengue, ditularkan melalui gigitan nyamuk Aedes aegypti dan Aedes albopictus.","DBD adalah penyakit infeksi virus akut yang ditularkan nyamuk Aedes aegypti dan Aedes albopictus, ditandai dengan demam tinggi mendadak, sakit kepala parah, nyeri otot dan sendi, ruam kulit, serta mual dan muntah.","Penyebab utama penyakit Demam Berdarah Dengue (DBD) adalah infeksi virus dengue, yang ditularkan ke manusia melalui gigitan nyamuk betina dari spesies Aedes aegypti dan Aedes albopictus.","Penularan DBD terjadi saat nyamuk Aedes aegypti atau Aedes albopictus yang terinfeksi virus dengue menggigit manusia sehat, setelah sebelumnya nyamuk tersebut menggigit orang yang sudah terinfeksi.","Solusi untuk meningkatkan kepedulian masyarakat terhadap pencegahan DBD adalah melalui edukasi dan kampanye 3M Plus yang berkelanjutan, pemberdayaan kader kesehatan, pemanfaatan media, serta kerja sama lintas sektor agar setiap keluarga melakukan gerakan Jumantik mandiri."
07/06/2025 13:24:15,"DBD adalah penyakit infeksi virus Dengue yang ditularkan nyamuk Aedes, menyebabkan demam tinggi, pendarahan, dan bisa fatal jika tidak ditangani.","Gejala utama DBD adalah demam tinggi mendadak (39–40°C) selama 2–7 hari disertai sakit kepala berat, nyeri otot/sendi, ruam merah, tanda pendarahan seperti mimisan atau bintik merah di kulit, serta risiko penurunan trombosit dan kebocoran plasma yang bisa berujung syok.","Penyebab utama DBD adalah virus Dengue (serotipe DEN-1 hingga DEN-4) yang ditularkan melalui gigitan nyamuk Aedes aegypti atau Aedes albopictus, terutama di daerah dengan genangan air yang menjadi tempat berkembang biaknya nyamuk.","Penularan DBD terjadi ketika nyamuk Aedes aegypti betina yang terinfeksi virus Dengue menggigit manusia, kemudian nyamuk sehat lainnya menggigit orang yang sudah terinfeksi dan menjadi pembawa virus baru, menciptakan siklus penularan yang terus berlanjut.","implementasi gerakan 3M Plus secara kolektif, pelibatan tokoh masyarakat, sistem pemantauan jentik terstruktur, serta inovasi program seperti Jumantik dan lomba kebersihan berbasis komunitas dengan dukungan pemerintah setempat."
07/06/2025 13:40:53,Penyakit berbahaya yang disebabkan oleh nyamuk aedes aegypti,demam denggi,nyamuk aedes aegypti,dari orang yang terkena lalu nyamuk tersebut menularkannya ke orang lain,"membersihkan lingkungan-lingkungan terutama lingkungan yang lembab, dan melakukan penyemprotan anti nyamuk dengan rutin"
07/06/2025 14:06:14,Demam Berdarah Dengue (DBD) adalah penyakit infeksi yang disebabkan oleh virus dengue dan menyebar melalui gigitan nyamuk Aedes aegypti yang terinfeksi.,"Gejala utama Demam Berdarah Dengue (DBD) adalah demam tinggi, sakit kepala, nyeri otot dan sendi, ruam kulit, mual, serta perdarahan ringan seperti mimisan atau gusi berdarah.",Penyebab utama Demam Berdarah Dengue adalah infeksi virus dengue yang ditularkan oleh nyamuk Aedes aegypti yang terinfeksi.,"Penularan DBD terjadi ketika nyamuk Aedes aegypti yang membawa virus dengue menggigit orang sehat, sehingga virus berpindah dan menginfeksi.","Solusi meningkatkan kepedulian masyarakat terhadap pencegahan DBD adalah dengan memberikan edukasi terus-menerus, melibatkan komunitas dalam kegiatan bersih lingkungan, dan menggalakkan program 3M (menguras, menutup, mengubur) tempat penampungan air."
07/06/2025 21:29:29,penyakit demam yang disebabkan oleh nyamuk aedes aegepty,badan panas,nyamuk aedes aegepty,manusia digigit nyamuk aedes aegepty,kampanye tetang bahaya penyakit ini secara besar2an
07/06/2025 21:49:15,demam parah yang disebabkan oleh nyamuk aegis,suhu tubuh yang sangat tinggi,"nyamuk aegis, banyak genangan, dan lingkungan kotor",melalui nyamuk aegis,memberikan informasi terkait pentingnya pencegahan demam berdarah. dilakukan berulang-ulang (seminggu sekali)
07/06/2025 21:49:41,Penyakit yang disebabkan oleh gigitan nyamuk ,"Panas, pusing, mual",Nyamuk ,"Lewat bekas alat makan/sharing"" makanan/air liur ",Melakukan penyemprotan obat pembasmi nyamuk
